time,ydif,mean,max,state
1788555670.79,0.001,0.120,6.427,MOTION
1788555670.87,0.000,0.120,6.427,MOTION
1788555670.99,0.002,0.120,6.427,MOTION
1788555671.09,0.015,0.120,6.427,MOTION
1788555671.20,0.001,0.120,6.427,MOTION
1788555671.29,0.001,0.120,6.427,MOTION
1788555671.39,0.017,0.120,6.427,MOTION
1788555671.49,0.002,0.120,6.427,MOTION
1788555671.58,0.005,0.120,6.427,MOTION
1788555671.69,0.057,0.120,6.427,MOTION
1788555671.79,0.002,0.120,6.427,MOTION
1788555671.89,0.004,0.120,6.427,MOTION
1788555671.99,0.062,0.120,6.427,MOTION
1788555672.06,0.002,0.119,6.427,MOTION
